ASX code,Company name,Listing date,GICs industry group,Market Cap
EQE,EQUUS MINING LIMITED,12/12/1995,Materials,13265069
EQN,EQUINOX RESOURCES LIMITED.,13/10/2021,Materials,12415000
EQR,EQ RESOURCES LIMITED,06/06/2006,Materials,67136399
EQS,EQUITY STORY GROUP LTD,03/05/2022,Diversified Financials,5349673
EQT,EQT HOLDINGS LIMITED,06/08/1985,Diversified Financials,676166293
EQX,EQUATORIAL RESOURCES LIMITED,14/05/1987,Materials,25189071
ERA,ENERGY RESOURCES OF AUSTRALIA LIMITED,19/11/1980,Energy,812104304
ERD,EROAD LIMITED,18/09/2020,Technology Hardware & Equipment,119659045
ERG,ENECO REFRESH LTD,29/03/2006,"Food, Beverage & Tobacco",6264242
ERL,EMPIRE RESOURCES LIMITED,01/02/2007,Materials,6231433
ERM,EMMERSON RESOURCES LIMITED,17/12/2007,Materials,42487363
ERW,ERRAWARRA RESOURCES LTD,14/12/2020,Materials,15126001
ESK,ETHERSTACK PLC,07/09/2012,Software & Services,54575392
ESR,ESTRELLA RESOURCES LIMITED,09/05/2012,Materials,16252119
ESS,ESSENTIAL METALS LIMITED,04/12/2003,Materials,104880391
ESSN,ESSENTIAL METALS LIMITED,04/12/2003,Materials,104880391
ETM,ENERGY TRANSITION MINERALS LTD,20/06/2006,Materials,65075713
EUR,EUROPEAN LITHIUM LIMITED,02/12/2010,Materials,120286852
EV1,EVOLUTION ENERGY MINERALS LIMITED,16/11/2021,Materials,47587500
EVE,EVE HEALTH GROUP LIMITED.,08/04/2004,Diversified Financials,5274483
EVN,EVOLUTION MINING LIMITED,20/08/2002,Materials,4899493572
EVO,EMBARK EDUCATION LIMITED,05/12/2014,Consumer Services,83763479
EVR,EV RESOURCES LTD,07/12/1994,Materials,17650697
EVS,ENVIROSUITE LIMITED,11/02/2008,Software & Services,160540849
EVT,EVT LIMITED,30/06/1962,Media & Entertainment,2215029445
EVZ,EVZ LIMITED,26/04/1985,Capital Goods,21025535
EWC,ENERGY WORLD CORPORATION LTD,08/12/1988,Utilities,133014869
EX1,EXOPHARM LIMITED,18/12/2018,"Pharmaceuticals, Biotechnology & Life Sciences",14306250
EXL,ELIXINOL WELLNESS LIMITED,08/01/2018,Household & Personal Products,10753029
EXP,EXPERIENCE CO LIMITED,27/03/2015,Consumer Services,158340718
EXR,ELIXIR ENERGY LIMITED,19/07/2004,Energy,168800902
EYE,NOVA EYE MEDICAL LIMITED,12/10/1987,Health Care Equipment & Services,43765035
EZL,EUROZ HARTLEYS GROUP LIMITED,,,191926878
EZZ,EZZ LIFE SCIENCE HOLDINGS LIMITED,03/03/2021,Retailing,15821200
FAL,FALCON METALS LTD,22/12/2021,Materials,40710000
FAR,FAR LIMITED,23/01/1986,Energy,68234018
FAU,FIRST AU LIMITED,01/01/1970,Materials,4759966
FBR,FBR LTD,08/02/2001,Capital Goods,130253109
FBU,FLETCHER BUILDING LIMITED,26/03/2001,Materials,3664968199
FCL,FINEOS CORPORATION HOLDINGS PLC,16/08/2019,Software & Services,511179813
FCT,FIRSTWAVE CLOUD TECHNOLOGY LIMITED,11/05/2011,Software & Services,99741235
FDR,FINDER ENERGY HOLDINGS LIMITED,08/04/2022,Energy,18112500
FDV,FRONTIER DIGITAL VENTURES LIMITED,26/08/2016,Media & Entertainment,284486888
FEG,FAR EAST GOLD LTD,28/03/2022,Materials,125416436
FEX,FENIX RESOURCES LTD,04/08/2008,Materials,137172771
FFF,FORBIDDEN FOODS LIMITED,31/08/2020,"Food, Beverage & Tobacco",4653140
FFG,FATFISH GROUP LIMITED,23/11/1995,Diversified Financials,19686468
FFI,FFI HOLDINGS LIMITED,15/01/1987,"Food, Beverage & Tobacco",47345615
FFT,FUTURE FIRST TECHNOLOGIES LTD,02/12/2013,Commercial & Professional Services,19712019
FFX,FIREFINCH LIMITED,06/12/2006,Materials,N/A
FG1,FLYNN GOLD LIMITED,17/06/2021,Materials,12360822
FGG,FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED,10/09/2015,Not Applic,458560520
FGL,FRUGL GROUP LIMITED,10/08/2004,Software & Services,3178195
FGR,FIRST GRAPHENE LIMITED,08/08/1994,Materials,71211257
FGX,FUTURE GENERATION INVESTMENT COMPANY LIMITED,06/03/1997,Not Applic,473912058
FHE,FRONTIER ENERGY LIMITED,18/12/2009,Materials,162325231
FHS,FREEHILL MINING LIMITED.,16/01/2017,Materials,15414791
FID,FIDUCIAN GROUP LIMITED,09/02/2015,Diversified Financials,216880822
FIJ,FIJI KAVA LIMITED,20/12/2018,Household & Personal Products,5011925
FIN,FIN RESOURCES LIMITED,02/11/1989,Materials,12308556
FLC,FLUENCE CORPORATION LIMITED,18/12/2007,Capital Goods,113846956
FLN,FREELANCER LIMITED,15/11/2013,Commercial & Professional Services,117736225
FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED,01/12/1995,Consumer Services,3189967028
FLX,FELIX GROUP HOLDINGS LTD,12/01/2021,Software & Services,21940760
FME,FUTURE METALS NL,16/08/2007,Energy,47115964
FMG,FORTESCUE METALS GROUP LTD,19/03/1987,Materials,59916657304
FML,FOCUS MINERALS LTD,13/09/2000,Materials,63042902
FMS,FLINDERS MINES LIMITED,20/02/2002,Materials,86112774
FND,FINDI LIMITED,08/08/2001,Software & Services,15441806
FNXDA,FINEXIA FINANCIAL GROUP LIMITED,21/12/2006,Diversified Financials,0
FOD,THE FOOD REVOLUTION GROUP LIMITED,29/06/2012,"Food, Beverage & Tobacco",28402850
FOR,FORAGER AUSTRALIAN SHARES FUND,16/12/2016,Not Applic,147924006
FOS,FOS CAPITAL LTD,07/06/2021,Capital Goods,10297197
FPC,FAT PROPHETS GLOBAL CONTRARIAN FUND LTD,22/03/2017,Not Applic,28030402
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,21/11/2001,Health Care Equipment & Services,12183472757
FPP,FAT PROPHETS GLOBAL PROPERTY FUND,10/10/2017,Not Applic,18450451
FRB,FIREBIRD METALS LIMITED,18/03/2021,Materials,13326313
FRE,FIREBRICK PHARMA LIMITED,28/01/2022,"Pharmaceuticals, Biotechnology & Life Sciences",43147072
FRI,FINBAR GROUP LIMITED,05/08/1994,Real Estate,178240658
FRM,FARM PRIDE FOODS LIMITED,19/12/1997,"Food, Beverage & Tobacco",9104729
FRS,FORRESTANIA RESOURCES LIMITED,30/09/2021,Materials,10265031
FRX,FLEXIROAM LIMITED,16/06/2015,Telecommunication Services,20541225
FSA,FSA GROUP LIMITED,11/01/2001,Diversified Financials,130900402
FSF,FONTERRA SHAREHOLDERS' FUND,30/11/2012,"Food, Beverage & Tobacco",311404857
FSG,FIELD SOLUTIONS HOLDINGS LIMITED,26/04/2005,Telecommunication Services,71027969
FSI,FLAGSHIP INVESTMENTS LIMITED,20/12/2000,Not Applic,50033804
FTC,FINTECH CHAIN LIMITED,27/11/2012,Software & Services,15618470
FTL,FIRETAIL RESOURCES LIMITED,13/04/2022,Materials,12705000
FTZ,FERTOZ LIMITED,02/09/2013,Materials,39835231
FWD,FLEETWOOD LIMITED,15/04/1987,Consumer Durables & Apparel,143312560
FXG,FELIX GOLD LIMITED,31/01/2022,Materials,18025887
FYI,FYI RESOURCES LIMITED,20/01/1994,Materials,51221462
FZO,FAMILY ZONE CYBER SAFETY LIMITED,29/08/2016,Software & Services,269333400
FZR,FITZROY RIVER CORPORATION LTD,04/03/1998,Energy,12414739
G1A,GALENA MINING LIMITED,07/09/2017,Materials,122787071
G50,GOLD 50 LIMITED,06/08/2021,Materials,19385000
G6M,GROUP 6 METALS LIMITED,21/09/1967,Materials,113535849
G88,GOLDEN MILE RESOURCES LTD,19/06/2017,Materials,5728513
GAL,GALILEO MINING LTD,29/05/2018,Materials,204541799
GAP,GALE PACIFIC LIMITED,14/12/2000,Consumer Durables & Apparel,81535947
GAS,STATE GAS LIMITED,10/10/2017,Energy,63888903
GBE,GLOBE METALS & MINING LIMITED,09/12/2005,Materials,31417185
GBR,GREAT BOULDER RESOURCES LIMITED,18/11/2016,Materials,35098390
GBZ,GBM RESOURCES LIMITED,24/10/2007,Materials,26914266
GC1,GLENNON SMALL COMPANIES LIMITED,21/08/2015,Not Applic,31766098
GCI,GRYPHON CAPITAL INCOME TRUST,25/05/2018,Not Applic,481460608
GCR,GOLDEN CROSS RESOURCES LTD,27/03/1996,Materials,10972561
GCX,GCX METALS LIMITED,20/12/2012,Energy,7431148
GCY,GASCOYNE RESOURCES LIMITED,11/12/2009,Materials,N/A
GDA,GOOD DRINKS AUSTRALIA LTD,13/12/2006,"Food, Beverage & Tobacco",92403595
GDC,GLOBAL DATA CENTRE GROUP,31/10/2019,Not Applic,89636448
GDF,GARDA PROPERTY GROUP,02/07/2015,Real Estate,323254993
GDG,GENERATION DEVELOPMENT GROUP LIMITED,11/12/2007,Insurance,236898159
GDI,GDI PROPERTY GROUP,17/12/2013,Real Estate,404189671
GED,GOLDEN DEEPS LIMITED.,04/12/1986,Materials,11552267
GEM,G8 EDUCATION LIMITED,05/12/2007,Consumer Services,813494702
GEN,GENMIN LIMITED,10/03/2021,Materials,84179813
GES,GENESIS RESOURCES LIMITED,27/10/2009,Materials,5479889
GFL,GLOBAL MASTERS FUND LIMITED,16/05/2006,Not Applic,26271740
GFN,GEFEN INTERNATIONAL A.I. LTD,21/07/2021,Retailing,8723030
GGE,GRAND GULF ENERGY LIMITED,20/03/1998,Energy,34025435
GGX,GAS2GRID LIMITED,13/05/2005,Energy,8178204
GHY,GOLD HYDROGEN LIMITED,,Class Pend,0
GIB,GIBB RIVER DIAMONDS LIMITED,01/07/2008,Materials,11633019
GL1,GLOBAL LITHIUM RESOURCES LIMITED,06/05/2021,Materials,573944301
GLA,GLADIATOR RESOURCES LIMITED,27/06/2006,Materials,8546718
GLB,GLOBE INTERNATIONAL LIMITED,24/05/2001,Consumer Durables & Apparel,127293921
GLE,GLG CORP LTD,14/12/2005,Consumer Durables & Apparel,36309000
GLH,GLOBAL HEALTH LIMITED,04/04/2000,Health Care Equipment & Services,11890693
GLL,GALILEE ENERGY LIMITED,15/02/1996,Energy,91405125
GLN,GALAN LITHIUM LIMITED,08/06/2011,Materials,435534930
GLV,GLOBAL OIL & GAS LIMITED,25/05/2005,Energy,5714639
GMD,GENESIS MINERALS LIMITED,02/08/2007,Materials,524475914
GME,GME RESOURCES LIMITED,21/08/1980,Materials,57825565
GMG,GOODMAN GROUP,02/02/2005,Real Estate,35145967255
GML,GATEWAY MINING LIMITED,02/08/1971,Materials,14916723
GMN,GOLD MOUNTAIN LIMITED,02/09/2011,Materials,14203343
GMR,GOLDEN RIM RESOURCES LTD,13/08/1987,Materials,10673055
GNC,GRAINCORP LIMITED,30/03/1998,Food & Staples Retailing,1784732187
GNE,GENESIS ENERGY LIMITED,17/04/2014,Utilities,2579944426
GNG,GR ENGINEERING SERVICES LIMITED,19/04/2011,Materials,319903159
GNM,GREAT NORTHERN MINERALS LIMITED,05/03/2008,Materials,6836204
GNP,GENUSPLUS GROUP LTD,14/12/2020,Capital Goods,176752420
GNX,GENEX POWER LIMITED,08/07/2015,Utilities,242406000
GO2,THE GO2 PEOPLE LTD,31/10/2017,Commercial & Professional Services,4066383
GOR,GOLD ROAD RESOURCES LIMITED,04/07/2006,Materials,1872122199
GOW,GOWING BROS LIMITED,31/07/1962,Diversified Financials,143406926
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,04/07/2007,Real Estate,2466384947
GPR,GEOPACIFIC RESOURCES LTD,09/05/2006,Materials,25522317
GPS,GPS ALLIANCE HOLDINGS LIMITED,02/07/2013,Real Estate,N/A
GPT,GPT GROUP,01/04/1971,Real Estate,8371073369
GQG,GQG PARTNERS INC.,26/10/2021,Diversified Financials,4517792314
GRE,GREENTECH METALS LIMITED,04/01/2022,Materials,6597500
GRL,GODOLPHIN RESOURCES LIMITED,18/12/2019,Materials,9706295
GRR,GRANGE RESOURCES LIMITED.,27/03/1986,Materials,891150797
GRV,GREENVALE ENERGY LTD,28/07/1971,Energy,41328776
GRX,GREENX METALS LIMITED,06/09/1993,Materials,93839572
GSM,GOLDEN STATE MINING LIMITED,08/11/2018,Materials,5733696
GSN,GREAT SOUTHERN MINING LIMITED,14/04/2011,Materials,26695107
GSR,GREENSTONE RESOURCES LIMITED,12/12/2000,Materials,26864474
GSS,GENETIC SIGNATURES LIMITED,31/03/2015,"Pharmaceuticals, Biotechnology & Life Sciences",129065396
GT1,GREEN TECHNOLOGY METALS LIMITED,10/11/2021,Materials,243750396
GTE,GREAT WESTERN EXPLORATION LIMITED.,05/06/2007,Materials,10886887
GTG,GENETIC TECHNOLOGIES LIMITED,30/07/1987,"Pharmaceuticals, Biotechnology & Life Sciences",27701895
GTI,GRATIFII LIMITED,17/07/2008,Software & Services,19145295
GTK,GENTRACK GROUP LIMITED,25/06/2014,Software & Services,195036144
GTM,GREENTECH MINERALS LTD,,Semiconductors & Semiconductor Equipment,0
GTN,GTN LIMITED,01/06/2016,Media & Entertainment,83409382
GTR,GTI ENERGY LTD,10/08/2007,Materials,18065803
GUD,G.U.D. HOLDINGS LIMITED,30/06/1962,Automobiles & Components,1134202303
GUL,GULLEWA LIMITED,19/06/1980,Materials,11645089
GVF,GLOBAL VALUE FUND LIMITED,21/07/2014,Not Applic,198491754
GW1,GREENWING RESOURCES LTD,20/10/2005,Materials,42278830
GWA,GWA GROUP LIMITED.,20/05/1993,Capital Goods,567538942
GWR,GWR GROUP LIMITED,24/12/2004,Materials,19594216
H2G,GREENHY2 LIMITED,04/12/1980,Commercial & Professional Services,13837149
HAL,HALO TECHNOLOGIES HOLDINGS LTD,26/04/2022,Diversified Financials,26548654
HAR,HARANGA RESOURCES LIMITED.,27/01/2022,Materials,9018043
HAS,HASTINGS TECHNOLOGY METALS LTD,20/02/2008,Materials,456033110
HAV,HAVILAH RESOURCES LIMITED,21/03/2002,Materials,101324547
HAW,HAWTHORN RESOURCES LIMITED,03/07/1986,Materials,38354295
HCD,HYDROCARBON DYNAMICS LIMITED,21/04/2006,Energy,8218847
HCF,H&G HIGH CONVICTION LIMITED,25/10/2022,Not Applic,21617334
HCH,HOT CHILI LIMITED,03/05/2010,Materials,104514555
HCT,HOLISTA COLLTECH LIMITED,26/02/2004,Household & Personal Products,8364002
HCW,HEALTHCO HEALTHCARE AND WELLNESS REIT,06/09/2021,Real Estate,517822476
HDN,HOMECO DAILY NEEDS REIT,23/11/2020,Real Estate,2702743890
HE8,HELIOS ENERGY LTD,20/10/2010,Energy,221344203
HFR,HIGHFIELD RESOURCES LIMITED,07/02/2012,Materials,314269703
HFY,HUBIFY LIMITED,12/01/2017,Telecommunication Services,10914998
HGH,HEARTLAND GROUP HOLDINGS LIMITED,01/11/2018,Banks,1163780290
HGL,HUDSON INVESTMENT GROUP LIMITED,09/06/1994,Real Estate,18401580
HGO,HILLGROVE RESOURCES LIMITED,22/07/1994,Materials,50494429
HGV,HYGROVEST LIMITED,22/01/2015,Not Applic,16096779
HHI,HEALTH HOUSE INTERNATIONAL LIMITED,28/07/2011,Health Care Equipment & Services,N/A
HHR,HARTSHEAD RESOURCES NL,14/02/2012,Energy,75658510
HIL,HILLS LIMITED,30/06/1962,Technology Hardware & Equipment,12527218
HIO,HAWSONS IRON LTD,14/11/2007,Materials,71882136
HIQ,HITIQ LIMITED,16/06/2021,Health Care Equipment & Services,4899504
HIQN,HITIQ LIMITED,16/06/2021,Health Care Equipment & Services,4899504
HIT,HITECH GROUP AUSTRALIA LIMITED,17/04/2000,Commercial & Professional Services,82838500
HLA,HEALTHIA LIMITED,11/09/2018,Health Care Equipment & Services,160743891
HLF,HALO FOOD CO. LIMITED,,,15229250
HLI,HELIA GROUP LIMITED,20/05/2014,Banks,945156887
HLO,HELLOWORLD TRAVEL LIMITED,13/09/2000,Consumer Services,230991489
HLS,HEALIUS LIMITED,03/07/1998,Health Care Equipment & Services,1695785883
HLX,HELIX RESOURCES LIMITED,22/05/1986,Materials,15100448
HM1,HEARTS AND MINDS INVESTMENTS LIMITED,14/11/2018,Not Applic,569627123
HMC,HMC CAPITAL LIMITED,14/10/2019,Real Estate,1558025611
HMD,HERAMED LIMITED,12/12/2018,Health Care Equipment & Services,35185272
HMG,HAMELIN GOLD LIMITED,05/11/2021,Materials,20350000
HMI,HIREMII LIMITED,11/05/2021,Commercial & Professional Services,5732935
HMX,HAMMER METALS LIMITED,25/02/2003,Materials,53326478
HMY,HARMONEY CORP LIMITED,19/11/2020,Diversified Financials,56363351
HNG,HANCOCK & GORE LTD,24/08/1971,Capital Goods,67608698
HNR,HANNANS LTD,05/12/2003,Materials,N/A
HOR,HORSESHOE METALS LIMITED,29/07/2010,Materials,14902458
HPC,THE HYDRATION PHARMACEUTICALS COMPANY LIMITED,14/12/2021,Household & Personal Products,19650635
HPG,HIPAGES GROUP HOLDINGS LTD,12/11/2020,Media & Entertainment,131831969
HPI,HOTEL PROPERTY INVESTMENTS,10/12/2013,Real Estate,645066664
HPP,HEALTH AND PLANT PROTEIN GROUP LIMITED,14/12/1989,"Food, Beverage & Tobacco",7983348
HPR,HIGH PEAK ROYALTIES LIMITED,30/03/2007,Energy,12537384
HRE,HEAVY RARE EARTHS LIMITED,24/08/2022,Class Pend,9558521
HRN,HORIZON GOLD LIMITED,21/12/2016,Materials,39432217
HRO,HIRO BRANDS LIMITED,14/01/2016,Consumer Services,N/A
HRZ,HORIZON MINERALS LIMITED,06/02/1992,Materials,41107850
HSC,HSC TECHNOLOGY GROUP LTD,02/06/2006,Software & Services,20057754
HSN,HANSEN TECHNOLOGIES LIMITED,01/06/2000,Software & Services,1046537379
HT1,HT&E LIMITED,07/05/1992,Media & Entertainment,341721157
HT8,HARRIS TECHNOLOGY GROUP LIMITED,24/06/1999,Retailing,4474432
HTA,HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED,17/08/1999,Telecommunication Services,814350515
HTG,HARVEST TECHNOLOGY GROUP LTD,12/05/2016,Technology Hardware & Equipment,41884785
HTM,HIGH-TECH METALS LTD,,Materials,0
HUB,HUB24 LIMITED,05/07/2007,Diversified Financials,2144758589
HUM,HUMM GROUP LIMITED,12/12/2006,Diversified Financials,290228182
HVM,HAPPY VALLEY NUTRITION LIMITED,23/01/2020,"Food, Beverage & Tobacco",13601891
HVN,HARVEY NORMAN HOLDINGS LIMITED,03/09/1987,Retailing,5320448413
HVY,HEAVY MINERALS LIMITED,14/09/2021,Materials,5117989
HXG,HEXAGON ENERGY MATERIALS LIMITED,30/10/2008,Materials,8719570
HXL,HEXIMA LIMITED.,01/12/2020,"Pharmaceuticals, Biotechnology & Life Sciences",3006713
HYD,HYDRIX LIMITED,11/05/2001,Technology Hardware & Equipment,13888078
HYT,HYTERRA LTD,14/12/2005,Energy,0
HZN,HORIZON OIL LIMITED,30/06/1981,Energy,208187585
HZR,HAZER GROUP LIMITED,02/12/2015,Materials,119310620
IAG,INSURANCE AUSTRALIA GROUP LIMITED,08/08/2000,Insurance,11832480989
IAM,INCOME ASSET MANAGEMENT GROUP LIMITED.,14/01/1987,Diversified Financials,50403748
IBC,IRONBARK CAPITAL LIMITED,02/04/1987,Not Applic,53966833
IBG,IRONBARK ZINC LTD,16/08/2006,Materials,14627096
IBX,IMAGION BIOSYSTEMS LIMITED,22/06/2017,Health Care Equipment & Services,29714941
ICE,ICETANA LIMITED,23/12/2019,Software & Services,6976495
ICG,INCA MINERALS LIMITED,19/06/2008,Materials,15434378
ICI,ICANDY INTERACTIVE LIMITED,04/02/2016,Media & Entertainment,79866442
ICL,ICENI GOLD LIMITED,14/04/2021,Materials,27114286
ICN,ICON ENERGY LIMITED,22/09/1997,Energy,3840068
ICR,INTELICARE HOLDINGS LIMITED,25/05/2020,Health Care Equipment & Services,3176389
ICS,ICSGLOBAL LIMITED,23/12/1999,Health Care Equipment & Services,N/A
ICTDD,ICOLLEGE LIMITED,24/08/2009,Consumer Services,0
ID8,IDENTITII LIMITED,17/10/2018,Software & Services,7243557
IDA,INDIANA RESOURCES LIMITED,17/07/1986,Materials,26395460
IDT,IDT AUSTRALIA LIMITED,18/02/1991,"Pharmaceuticals, Biotechnology & Life Sciences",21691962
IDX,INTEGRAL DIAGNOSTICS LIMITED,21/10/2015,Health Care Equipment & Services,621999331
IEC,INTRA ENERGY CORPORATION LIMITED,04/07/2007,Energy,4846253
IEL,IDP EDUCATION LIMITED,26/11/2015,Consumer Services,8197001414
IEQ,INTERNATIONAL EQUITIES CORPORATION LIMITED.,11/03/1993,Real Estate,4487825
IFL,INSIGNIA FINANCIAL LTD,05/12/2003,Diversified Financials,2153029139
IFM,INFOMEDIA LTD,16/08/2000,Software & Services,413365700
IFT,INFRATIL LIMITED.,30/08/2010,Utilities,5902919413
IG6,INTERNATIONAL GRAPHITE LIMITED,07/04/2022,Capital Goods,47070124
IGL,IVE GROUP LIMITED,16/12/2015,Media & Entertainment,372635269
IGN,IGNITE LIMITED,16/01/1997,Commercial & Professional Services,6449917
IGO,IGO LIMITED,17/01/2002,Materials,11139409529
IHL,INCANNEX HEALTHCARE LIMITED,23/05/2007,"Pharmaceuticals, Biotechnology & Life Sciences",358044995
IHR,INTELLIHR LIMITED,23/01/2018,Software & Services,20059476
IIQ,INOVIQ LTD,18/04/1991,Health Care Equipment & Services,52450660
IKE,IKEGPS GROUP LIMITED,21/11/2016,Technology Hardware & Equipment,144557229
IKW,IKWEZI MINING LIMITED,19/07/2011,Energy,18292488
ILA,ISLAND PHARMACEUTICALS LIMITED,13/04/2021,"Pharmaceuticals, Biotechnology & Life Sciences",16660036
ILU,ILUKA RESOURCES LIMITED,30/06/1962,Materials,4245072188
IMA,IMAGE RESOURCES NL,04/07/2002,Materials,152374902
IMB,INTELLIGENT MONITORING GROUP LIMITED,03/03/1994,Commercial & Professional Services,23526053
IMC,IMMURON LIMITED,30/04/1999,"Pharmaceuticals, Biotechnology & Life Sciences",17768271
IMD,IMDEX LIMITED,24/09/1987,Materials,863726222
IME,IMEXHS LIMITED,14/12/2005,Health Care Equipment & Services,18772345
IMI,INFINITY MINING LIMITED,22/12/2021,Materials,35908099
IMM,IMMUTEP LIMITED,23/06/1988,"Pharmaceuticals, Biotechnology & Life Sciences",320867650
IMR,IMRICOR MEDICAL SYSTEMS INC.,30/08/2019,Health Care Equipment & Services,50701454
IMS,IMPELUS LIMITED,11/05/2000,Media & Entertainment,N/A
IMU,IMUGENE LIMITED,24/11/1993,"Pharmaceuticals, Biotechnology & Life Sciences",1149381273
IMUNE,IMUGENE LIMITED,24/11/1993,"Pharmaceuticals, Biotechnology & Life Sciences",1149381273
INA,INGENIA COMMUNITIES GROUP,01/07/2004,Real Estate,1740380537
IND,INDUSTRIAL MINERALS LTD,13/07/2021,Materials,24765000
INF,INFINITY LITHIUM CORPORATION LIMITED,15/04/2011,Materials,79101307
ING,INGHAMS GROUP LIMITED,07/11/2016,"Food, Beverage & Tobacco",1033269291
INL,INNLANZ LIMITED,22/02/2019,Retailing,13157072
INP,INCENTIAPAY LIMITED,09/09/2014,Retailing,10120509
INR,IONEER LTD,19/12/2007,Materials,1154086047
INV,INVESTSMART GROUP LIMITED,21/04/2005,Diversified Financials,41879760
IOD,IODM LIMITED,18/11/2003,Software & Services,250600499
IOU,IOUPAY LIMITED,12/10/2000,Media & Entertainment,26038567
IPB,IPB PETROLEUM LIMITED,30/04/2013,Energy,3650959
IPC,IMPERIAL PACIFIC LIMITED,28/07/1971,Diversified Financials,7495021
IPD,IMPEDIMED LIMITED,24/10/2007,Health Care Equipment & Services,162270213
IPG,IPD GROUP LTD,17/12/2021,Capital Goods,271188606
IPH,IPH LIMITED,19/11/2014,Commercial & Professional Services,2019746445
IPL,INCITEC PIVOT LIMITED,28/07/2003,Materials,7885433618
IPT,IMPACT MINERALS LIMITED,29/11/2006,Materials,24813706
IPX,IPERIONX LIMITED,16/04/2018,Materials,129275246
IR1,IRIS METALS LIMITED,23/09/2021,Materials,177353200
IRD,IRON ROAD LIMITED,12/06/2008,Materials,99982663
IRE,IRESS LIMITED,03/11/2000,Software & Services,1773837575
IRI,INTEGRATED RESEARCH LIMITED,13/12/2000,Software & Services,83884888
IRX,INHALERX LIMITED,11/01/2017,Health Care Equipment & Services,10112416
IS3,I SYNERGY GROUP LIMITED,30/03/2017,Software & Services,8976286
ISU,ISELECT LIMITED.,24/06/2013,Consumer Services,65423640
ITM,ITECH MINERALS LTD,21/10/2021,Materials,32040167
IVC,INVOCARE LIMITED,04/12/2003,Consumer Services,1617802032
IVO,INVIGOR GROUP LIMITED,03/12/1999,Media & Entertainment,N/A
IVR,INVESTIGATOR RESOURCES LTD,03/04/2007,Materials,68195347
IVT,INVENTIS LIMITED,14/04/1999,Commercial & Professional Services,5021057
IVX,INVION LIMITED,15/02/2010,"Pharmaceuticals, Biotechnology & Life Sciences",67410967
IVZ,INVICTUS ENERGY LTD,19/01/2012,Energy,272460946
IXC,INVEX THERAPEUTICS LTD,05/07/2019,"Pharmaceuticals, Biotechnology & Life Sciences",42461924
IXR,IONIC RARE EARTHS LIMITED,10/12/1999,Materials,151031592
IXU,IXUP LIMITED,15/11/2017,Software & Services,35950857
JAL,JAMESON RESOURCES LIMITED,18/12/2007,Materials,45023777
JAN,JANISON EDUCATION GROUP LIMITED,12/09/2000,Software & Services,137193483
JAT,JATCORP LIMITED,30/01/2008,Retailing,29975422
JAV,JAVELIN MINERALS LIMITED,09/10/2012,Materials,9454153
JAY,JAYRIDE GROUP LIMITED,29/01/2018,Retailing,35276852
JBH,JB HI-FI LIMITED,23/10/2003,Retailing,4832561960
JCS,JCURVE SOLUTIONS LTD,08/12/2000,Software & Services,20028950
JDO,JUDO CAPITAL HOLDINGS LIMITED,01/11/2021,Banks,1415065436
JGH,JADE GAS HOLDINGS LIMITED,13/02/1995,Materials,67075360
JHG,JANUS HENDERSON GROUP PLC,27/10/2008,Diversified Financials,6698867464
JHX,JAMES HARDIE INDUSTRIES PLC,15/10/2001,Materials,13102254707
JIN,JUMBO INTERACTIVE LIMITED,14/06/1972,Consumer Services,890979202
JLG,JOHNS LYNG GROUP LIMITED,26/10/2017,Capital Goods,1898645733
JMS,JUPITER MINES LIMITED.,18/04/2018,Materials,372208296
JNO,JUNO MINERALS LIMITED,14/05/2021,Materials,12417678
JPR,JUPITER ENERGY LIMITED,12/11/2003,Energy,3374309
JRL,JINDALEE RESOURCES LIMITED,11/07/2002,Materials,122790987
JRV,JERVOIS GLOBAL LIMITED,01/12/1980,Materials,660042608
JTL,JAYEX TECHNOLOGY LIMITED,17/12/2015,Health Care Equipment & Services,1993828
JXT,JAXSTA LTD,21/09/2010,Software & Services,15073441
JYC,JOYCE CORPORATION LTD,17/12/1986,Retailing,100014209
K2F,K2FLY LIMITED,19/02/2008,Software & Services,33088433
KAI,KAIROS MINERALS LIMITED,30/05/1973,Materials,54994618
KAL,KALGOORLIE GOLD MINING LIMITED,17/11/2021,Materials,9075633
KAM,K2 ASSET MANAGEMENT HOLDINGS LTD,29/11/2007,Diversified Financials,10848834
KAR,KAROON ENERGY LTD,08/06/2004,Energy,1254783884
KAT,KATANA CAPITAL LIMITED,23/12/2005,Not Applic,37227752
KAU,KAISER REEF LIMITED,28/02/2020,Materials,25505583
KBC,KEYBRIDGE CAPITAL LIMITED,23/12/1999,Diversified Financials,14685811
KCC,KINCORA COPPER LIMITED,30/03/2021,Materials,7984092
KCN,KINGSGATE CONSOLIDATED LIMITED.,21/04/1988,Materials,409442838
KED,KEYPATH EDUCATION INTERNATIONAL INC.,02/06/2021,Consumer Services,160903044
KEY,KEY PETROLEUM LIMITED,26/04/2007,Energy,3935856
KFE,KOGI IRON LIMITED,16/01/1987,Materials,8165389
KFM,KINGFISHER MINING LTD,11/12/2020,Materials,28476251
