Name,Tell,Email,Website
ALTRON LIMITED,+27 11 6453600,info@altron.com,http://www.altron.com
ALVIVA HOLDINGS LIMITED,+27 11 2377000,info@alvivaholdings.com,http://www.alvivaholdings.com
ANGLO AMERICAN PLATINUM LIMITED,+27 11 3736111,kmphahlele@angloplat.com,http://www.angloamericanplatinum.com
ANGLO AMERICAN PLC,+44 207 9688888,corporateaffairs@angloamerican.co.uk,http://www.angloamerican.co.uk
ANGLOGOLD ASHANTI LIMITED,+27 11 637 6000,investors@anglogoldashanti.com,http://www.anglogoldashanti.com
ANHEUSER-BUSCH INBEV SA/NV,+32 1 6276111,Mariusz.Jamka@ab-inbev.com,http://www.ab-inbev.com
ARCELORMITTAL SOUTH AFRICA LIMITED,+27 16 889 9111,webmaster@mittalsteelsa.com,http://www.arcelormittalsa.com
aReit PROP LIMITED,+27 72 5924558,info@areitprop.co.za,http://www.areitprop.co.za
ARGENT INDUSTRIAL LIMITED,+27 31 584 7702,argent7@argent.co.za,http://www.argent.co.za
ASCENDIS HEALTH LIMITED,+27 11 0369600,info@ascendishealth.com,http://www.ascendishealth.com
ASPEN PHARMACARE HOLDINGS LIMITED,+27 11 239 6100,rverster@aspenpharma.com,http://www.aspenpharma.com
ASTORIA INVESTMENTS LIMITED,+61 29 3713410,info@astoria.mu,http://www.astoria.mu
ASTRAL FOODS LIMITED,+27 12 6675468,contactus@astralfoods.com,http://www.astralfoods.com
ATTACQ LIMITED,+27 10 5491050,reception@attacq.co.za,http://www.attacq.co.za
AVENG LIMITED,+27 11 7792800,Investor.relations@avenggroup.com,http://www.aveng.co.za
AVI LIMITED,+27 11 502 1300,info@avi.co.za,http://www.avi.co.za
AYO TECHNOLOGY SOLUTIONS LIMITED,+27 21 4271400,info@ayotsl.com,http://www.ayotsl.com
BALWIN PROPERTIES LIMITED,+27 11 4502818,jonathan@balwin.co.za,http://www.balwin.co.za
BARLOWORLD LIMITED,+27 11 4451000,invest@barloworld.com,http://www.barloworld.com
BASIL READ HOLDINGS LIMITED,+27 11 418 6300,communications@basilread.co.za,http://www.basilread.co.za
BELL EQUIPMENT LIMITED,+27 35 907 9111,Diana.McIlrath@za.bellequipment.com,http://www.bellir.co.za
BHP GROUP LIMITED,+61 3 96063333,prakash.kakkad@bhp.com,http://www.bhp.com
BID CORPORATION LIMITED,+27 10 5922150,investorrelations@bidcorp.co.za,http://www.bidcorpgroup.com
BLUE LABEL TELECOMS LIMITED,+27 11 5233000,info@blts.co.za,http://www.bluelabeltelecoms.co.za
BOWLER METCALF LIMITED,+27 21 704 2223,sales@bowler.co.za,http://www.bowler.co.za
BRAIT PLC,+356 21 446377,invest@brait.com,http://www.brait.com
BRIKOR LIMITED,+27 11 739 9000,bricks@brikor.co.za,http://www.brikor.co.za
BRIMSTONE INVESTMENT CORPORATION LIMITED,+27 21 6831444,info@brimstone.co.za,http://www.brimstone.co.za
BRITISH AMERICAN TOBACCO PLC,+44 207 8451000,mike_nightingale@bat.com,http://www.bat.com
BUFFALO COAL CORPORATION,+27 11 6563210,info@buffalocoal.co.za,http://www.buffalocoal.co.za
BUKA INVESTMENTS LIMITED,+27 12 621 3300,info@imbaliebeauty.co.za,http://www.imbaliebeauty.co.za
BYTES TECHNOLOGY GROUP PLC,+44 137 2418500,IR@bytes.co.uk,http://www.bytes.co.uk
CA SALES HOLDINGS LIMITED,+27 12 4253200,investor@cas.group,http://www.casholdings.co.za
CAFCA LIMITED,+263 4 754075,marketing@cafca.co.zw,http://www.cafca.co.zw
CALGRO M3 HOLDINGS LIMITED,+27 86 1225476,info@calgrom3.com,http://www.calgrom3.com
CAPITAL & COUNTIES PROPERTIES PLC,+44 20 32149150,feedback@capitalandcounties.com,http://www.capitalandcounties.com
CAPITAL & REGIONAL PLC,+44 207 9328027,stuart.wetherly@capreg.com,http://www.capreg.com
CAPITAL APPRECIATION LIMITED,+27 87 1353300,investor@capitalappreciation.co.za,http://www.capitalappreciation.co.za
CAPITEC BANK HOLDINGS LIMITED,+27 21 8095900,enquiries@capitecbank.co.za,http://www.capitecbank.co.za
CASHBUILD LIMITED,+27 11 2481500,wdejager@cashubuild.co.za,http://www.cashbuild.co.za
CASTLEVIEW PROPERTY FUND LIMITED,+27 21 2762040,info@castleview.co.za,http://www.castleview.co.za
CAXTON AND CTP PUBLISHERS AND PRINTERS LIMITED,+27 11 2497000,nsooka@ctp.co.za,http://www.caxton.co.za
CHOPPIES ENTERPRISES LIMITED,+00 267 3186657,info@choppies.co.bw,http://www.choppies.co.bw
CHROMETCO LIMITED,+27 11 258 8660,info@chrometco.co.za,http://www.chrometco.co.za
CITY LODGE HOTELS LIMITED,+27 11 5572600,info@clhg.com,http://www.clhg.com
CLICKS GROUP LIMITED,+27 21 4601911,companysecretary@clicksgroup.co.za,http://www.clicksgroup.co.za
CLIENTELE LIMITED,+27 11 320 3333,info@clientele.co.za,http://www.clientele.co.za
COGNITION HOLDINGS LIMITED,+27 11 2930000,info@foneworx.co.za,http://www.cognitionholdings.co.za
COMBINED MOTOR HOLDINGS LIMITED,+27 31 337 8281,cmhinfo@cmh.co.za,http://www.cmh.co.za
COMPAGNIE FINANCIERE RICHEMONT SA,+41 22 7213003,investor.relations@cfrinfo.net,http://www.richemont.com
CONDUIT CAPITAL LIMITED,+27 11 686 4200,info@conduitcapital.co.za,http://www.conduitcapital.co.za
CORONATION FUND MANAGERS LIMITED,+27 21 680 2000,info@coronation.co.za,http://www.coronation.com
CROOKES BROTHERS LIMITED,+27 39 978 4600,info@cbl.co.za,http://www.cbl.co.za
CURRO HOLDINGS LIMITED,+27 21 979 1204,info@curro.co.za,http://www.curro.co.za
DATATEC LIMITED,+27 11 233 1000,ir@datatec.com,http://www.datatec.com
DELTA PROPERTY FUND LIMITED,+27 87 8033582,companysecretary@deltafund.co.za,http://www.deltafund.co.za
DENEB INVESTMENTS LIMITED,+27 21 4861400,info@deneb.co.za,http://www.deneb.co.za
DEUTSCHE KONSUM REIT-AG,+49 331 7400765,ch@deutsche-konsum.de,http://www.deutsche-konsum.de
DIPULA INCOME FUND LIMITED,+27 11 325 2112,info@dipula.co.za,http://www.dipula.co.za
DIS-CHEM PHARMACIES LIMITED,+27 11 5892200,investorrelations@dischem.co.za,http://www.dischemgroup.com
DISCOVERY LIMITED,+27 11 529 2888,askTheCFO@discovery.co.za,http://www.discovery.co.za
DISTELL GROUP HOLDINGS LIMITED,+27 21 8097000,info@distell.co.za,http://www.distell.co.za
DRA GLOBAL LIMITED,+61 08 61635900,info@draglobal.com,http://www.draglobal.com
DRDGOLD LIMITED,+27 11 4702600,james@rair.co.za,http://www.drdgold.com
EASTERN PLATINUM LIMITED,+1 604 685 6851,info@eastplats.com,http://www.eastplats.com
EFORA ENERGY LIMITED,+27 10 5912260,investorrelations@eforaenergy.com,http://www.eforaenergy.com
ELLIES HOLDINGS LIMITED,+27 11 490 3800,holdings@ellies.co.za,http://www.elliesholdings.com
eMEDIA HOLDINGS LIMITED,+27 11 5379300,info@emediaholdings.co.za,http://www.emediaholdings.co.za
EMIRA PROPERTY FUND LIMITED,+27 11 0283100,gjennett@emira.co.za,http://www.emira.co.za
enX GROUP LIMITED,+27 11 9662000,info@enxgroup.co.za,http://www.enxgroup.co.za
EOH HOLDINGS LIMITED,+27 11 607 8100,info@eoh.co.za,http://www.eoh.co.za
EPE CAPITAL PARTNERS LIMITED,+230 46 48866,rdyer@ethos.co.za,www.ethoscapital.mu
EQUITES PROPERTY FUND LIMITED,+27 21 4477244,info@equites.co.za,http://www.equites.co.za
ERIN ENERGY CORPORATION,+1 713 7972940,Chris.dutoit@erinenergy.com,http://www.erinenergy.com
ETION LIMITED,+27 12 7491800,ir@etion.co.za,http://www.etion.co.za
EUROPA METALS LIMITED,+61 8 94864036,info@europametals.com,http://www.europametals.com
EXEMPLAR REITAIL LIMITED,+27 12 6546330,Info@exemplarREIT.co.za,http://www.exemplarREIT.co.za
EXXARO RESOURCES LIMITED,+27 12 307 5000,investorrelations@exxaro.com,http://www.exxaro.com
FAIRVEST LIMITED,+27 10 1000076,info@arrowprop.co.za,http://www.fairvest.co.za
FAMOUS BRANDS LIMITED,+27 11 315 3000,investorrelations@famousbrands.co.za,http://www.famousbrands.co.za
FINBOND GROUP LIMITED,+27 12 460 7288,info@finbond.co.za,http://www.finbondlimited.co.za
FIRSTRAND LIMITED,+27 11 2821808,investor.relations@firstrand.co.za,http://www.firstrand.co.za
FORTRESS REIT LIMITED,+27 11 2822800,info@fortressfund.co.za,http://www.fortressfund.co.za
FRONTIER TRANSPORT HOLDINGS LIMITED,+27 21 5078800,info@hplr.co.za,http://www.hplr.co.za
GEMFIELDS GROUP LIMITED,+44 148 1731554,investor.relations@gemfields.com,http://www.gemfieldsgroup.com
GLENCORE PLC,+41 41 709 2000,info@glencore.com,http://www.glencore.com
GLOBE TRADE CENTRE S.A.,+48 22 1660700,ir@gtc.com.pl,www.gtcgroup.com
GO LIFE INTERNATIONAL LIMITED,+230 58 2040808,Info@golife.co.za,http://www.golife.co.za
GOLD FIELDS LIMITED,+27 11 562 9700,investors@goldfields.co.za,http://www.goldfields.co.za
GRAND PARADE INVESTMENTS LIMITED,+27 21 4121400,info@grandparade.co.za,http://www.grandparade.co.za
GRINDROD LIMITED,+27 31 3041451,investorrelations@grindrod.co.za,http://www.grindrod.com
GRINDROD SHIPPING HOLDINGS LIMITED,+65 66 321315,ir@grindrodshipping.com,http://www.grinshipping.com
GROWTHPOINT PROPERTIES LIMITED,+27 11 944 6000,info@growthpoint.co.za,http://www.growthpoint.co.za
HAMMERSON PLC,+44 207 8871000,info@hammerson.com,http://www.hammerson.com
HARMONY GOLD MINING COMPANY LIMITED,+27 11 411 2000,corporate@harmony.co.za,http://www.harmony.co.za
HERIOT REIT LIMITED,+27 11 6841570,kpestana@heriot.co.za,http://www.heriotreit.com
HOMECHOICE INTERNATIONAL PLC,+27 21 6808046,info@homechoiceinternational.com,http://homechoiceinternational.com
HOSKEN CONSOLIDATED INVESTMENTS LIMITED,+27 21 481 7560,info@hci.co.za,http://www.hci.co.za
HUDACO INDUSTRIES LIMITED,+27 11 657 5000,info@hudaco.co.za,http://www.hudaco.co.za
HUGE GROUP LIMITED,+27 11 603 6000,enquiries@hugegroup.com,http://www.hugegroup.co.za
HULAMIN LIMITED,+27 33 395 6911,hulamin@hulamin.co.za,http://www.hulamin.co.za
HWANGE COLLIERY COMPANY LIMITED,+26 34 781985,tkncube@hre.hwangecolliery.co.zw,http://www.hwangecolliery.net
HYPROP INVESTMENTS LIMITED,+27 11 447 0090,info@hyprop.co.za,http://www.hyprop.co.za
IMPALA PLATINUM HOLDINGS LIMITED,+27 11 731 9000,investor@implats.co.za,http://www.implats.co.za
INDLUPLACE PROPERTIES LIMITED,+27 11 1000076,mark@indluplacepropertites.co.za,http://www.indluplaceproperties.co.za
INDUSTRIALS REIT LIMITED,+44 203 9186600,info@industrialsreit.com,http://www.industrialsreit.com
INSIMBI INDUSTRIAL HOLDINGS LIMITED,+27 11 9026930,shares@insimbi.co.za,http://www.insimbi-iras.co.za
INVESTEC LIMITED,+27 11 286 7000,investorrelations@investec.com,http://www.investec.com
INVESTEC PLC,+44 207 5974000,investorrelations@investec.com,http://www.investec.com
INVESTEC PROPERTY FUND LIMITED,+27 11 2867000,investorrelations@investec.com,http://www.investecpropertyfund.com
INVICTA HOLDINGS LIMITED,+27 11 6207300,info@invictaholdings.co.za,http://www.invictaholdings.co.za
ISA HOLDINGS LIMITED,+27 11 032 7799,info@isa.co.za,http://www.isaholdings.co.za
ITALTILE LIMITED,+27 11 510 9050,italtile@italtile.co.za,http://www.italtile.com
JASCO ELECTRONICS HOLDINGS LIMITED,+27 11 266 1500,samantha.samuels@jasco.co.za,http://www.jasco.co.za
JSE LIMITED,+27 11 5207000,ir@jse.co.za,http://www.jse.co.za
JUBILEE METALS GROUP PLC,+44 207 5842155,info@jubileemetalsgroup.com,http://www.jubileemetalsgroup.com
KAAP AGRI LIMITED,+27 22 4828000,rkostens@kaapagri.co.za,https://www.kaapagri.co.za
KAP INDUSTRIAL HOLDINGS LIMITED,+27 10 0053000,info@kap.co.za,http://www.kap.co.za
KAROOOOO LIMITED,+65 81 716810,IR@karooooo.com,http://www.karooooo.com
KIBO ENERGY PLC,+353 91 511463,info@kibo.energy,http://kibo.energy
KORE POTASH PLC,+44 776 7474191,info@korepotash.com,http://www.korepotash.com
KUMBA IRON ORE LIMITED,+27 12 622 7000,nerina.bodasing@angloamerican.com,http://www.angloamericankumba.com
LABAT AFRICA LIMITED,+27 11 675 6841,labatafrica@mwebbiz.co.za,http://www.labatafrica.co.za
LESAKA TECHNOLOGIES INC,+27 11 343 2000,hermank@net1ueps.co.za,https://www.lesakatech.com
LEWIS GROUP LIMITED,+27 21 460 4400,info@lewisgroup.co.za,http://www.lewisgroup.co.za
LIBERTY TWO DEGREES LIMITED,+27 11 4486808,info@liberty2degrees.co.za,http://www.liberty2degrees.co.za
LIBSTAR HOLDINGS LIMITED,+27 11 4476619,info@libstar.co.za,http://www.libstar.co.za
LIFE HEALTHCARE GROUP HOLDINGS LIMITED,+27 11 219 9000,general.information@lifehealthcare.co.za,http://www.lifehealthcare.co.za
LIGHTHOUSE PROPERTIES PLC,+356 21 344560,info@lighthouseproperties.mt,http://www.lighthousepropertiesplc.mt
LONDON FINANCE & INVESTMENT GROUP PLC,+44 207 4488950,mail@city-group.com,http://www.city-group.com
LUXE HOLDINGS LIMITED,+27 11 6695600,info@luxeholdings.co.za,http://www.luxeholdings.co.za
MAHUBE INFRASTRUCTURE LIMITED,+27 11 6841230,info@mahube.africa,http://www.mahube.africa
MANTENGU MINING LIMITED,+27 11 0363100,admin@mantengu.com,http://www.mantengu.com
MARSHALL MONTEAGLE PLC,+27 31 566 7600,contactus@monteaglegroup.com,http://www.monteaglegroup.com
MAS PLC,+44 162 4625000,info@masrei.com,http://www.masrei.com
MASTER DRILLING GROUP LIMITED,+27 18 771 8100,info@masterdrilling.com,http://www.masterdrilling.com
MC MINING LIMITED,+61 89 3169100,investor@mcmining.co.za,http://www.mcmining.co.za
MEDICLINIC INTERNATIONAL PLC,+44 20 79549582,info@mediclinic.com,http://www.mediclinic.com
MERAFE RESOURCES LIMITED,+27 11 7834780,kajal@meraferesources.co.za,http://www.meraferesources.co.za
METAIR INVESTMENTS LIMITED,+27 11 646 3011,info@metair.co.za,http://www.metair.co.za
METROFILE HOLDINGS LIMITED,+27 11 553 0270,info@metrofile.com,http://www.metrofileholdings.com
MIX TELEMATICS LIMITED,+27 11 654 8000,investor@mixtelematics.com,http://www.mixtelematics.co.za
MOMENTUM METROPOLITAN HOLDINGS LIMITED,+27 12 671 8911,info@momentummetropolitan.co.za,http://www.momentummetropolitan.co.za
MONDI PLC,+44 193 2826300,ir@mondigroup.com,http://www.mondigroup.com
MONTAUK RENEWABLES INC,+1 412 7478700,info@montaukenergy.com,http://montaukenergy.com
MOTUS HOLDINGS LIMITED,+27 10 4934335,ockert@motuscorp.co.za,http://www.motuscorp.co.za
MPACT LIMITED,+27 11 994 5500,info@mpact.co.za,http://www.mpact.co.za
MR PRICE GROUP LIMITED,+27 31 310 8000,JCheadle@mrpg.com,http://www.mrpricegroup.com
MTN GROUP LIMITED,+27 11 912 3000,investor_relations@mtn.co.za,http://www.mtn.com
MULTICHOICE GROUP LIMITED,+27 11 2893657,cosec@multichoice.com,http://www.multichoice.com
MURRAY & ROBERTS HOLDINGS LIMITED,+27 11 456 6200,info@murrob.com,http://www.murrob.com
MUSTEK LIMITED,+27 11 237 1000,ltd@mustek.co.za,http://www.mustek.co.za
NAMPAK LIMITED,+27 11 7196300,info@nampak.com,http://www.nampak.com
NASPERS LIMITED,+27 21 406 2121,investorrelations@naspers.com,http://www.naspers.com
NEDBANK GROUP LIMITED,+27 11 294 4444,nedbankgroupir@nedbank.co.za,http://www.nedbankgroup.co.za
NEPI ROCKCASTLE N.V,+31 202 384030,office@repirockastle.com,https://nepirockcastle.com
NETCARE LIMITED,+27 11 3010000,ir@netcare.co.za,http://www.netcareinvestor.co.za
NEW FRONTIER PROPERTIES LIMITED,+44 207 1633960,mike@waypointam.co.uk,http://newfrontierprop.com
NEWPARK REIT LIMITED,+27 11 4834700,info@newpark.co.za,http://www.newpark.co.za
NICTUS LIMITED,+27 11 7879019,fd@nictus.co.za,http://www.nictuslimited.co.za
NINETY ONE LIMITED,+27 21 9011000,varuni.dharma@ninetyone.com,http://www.ninetyone.com
NINETY ONE PLC,+44 203 9382000,varuni.dharma@ninetyone.com,http://www.ninetyone.com
NORTHAM PLATINUM HOLDINGS LIMITED,+27 11 7596000,trish.beale@norplats.co.za,http://www.northam.co.za
NOVUS HOLDINGS LIMITED,+27 21 5502500,info@novus.holdings,http://www.novus.holdings
NUTRITIONAL HOLDINGS LIMITED,+27 31 5368066,info@nholdings.co.za,http://www.nholdings.co.za
NU-WORLD HOLDINGS LIMITED,+27 11 321 2111,nuworld@iafrica.com,http://www.nuworld.co.za
OANDO PLC,+27 11 268 6235,info@oandoplc.com,http://www.oandoplc.com
OASIS CRESCENT PROPERTY FUND,+27 21 413 7860,info@oasiscrescent.com,http://www.oasiscrescent.com
OCEANA GROUP LIMITED,+27 21 410 1400,info@oceana.co.za,http://www.oceana.co.za
OCTODEC INVESTMENTS LIMITED,+27 12 319 8781,octodec@cityprop.co.za,http://www.octodec.co.za
OLD MUTUAL LIMITED,+27 21 5094534,investorrelations@oldmutual.com,http://www.oldmutual.com
OMNIA HOLDINGS LIMITED,+27 11 709 8888,group@omnia.co.za,http://www.omnia.co.za
ONELOGIX GROUP LIMITED,+27 11 396 9040,info@onelogix.com,http://www.onelogix.com
ORION MINERALS LIMITED,+61 03 80807170,info@orionminerals.com.au,http://www.orionminerals.com.au
PAN AFRICAN RESOURCES PLC,+44 20 77968644,info@paf.co.za,http://www.panafricanresources.com
PBT GROUP LIMITED,+27 21 5510937,info@pbtgroup.co.za,http://www.pbtgroup.co.za
PEMBURY LIFESTYLE GROUP LIMITED,+27 11 6784406,invest@plgschools.co.za,http://www.plgschools.co.za
PEPKOR HOLDINGS LIMITED,+27 21 9294800,investors@pepkor.co.za,http://www.pepkor.co.za
PICK N PAY STORES LIMITED,+27 21 6581000,demuller@pnp.co.za,http://www.picknpayinvestor.co.za
PPC LIMITED,+27 11 386 9000,contactus@ppc.co.za,http://www.ppc.co.za
PREMIER FISHING AND BRANDS LIMITED,+27 21 4271400,info@premierfishing.co.za,http://premierfishing.co.za
PRIMESERV GROUP LIMITED,+27 11 691 8000,productivity@primeserv.co.za,http://www.primeserv.co.za
PROSUS N.V,+31 23 5692300,investorrelations@prosus.com,http://www.prosus.com
PSG KONSULT LIMITED,+27 21 9150109,info@psg.co.za,http://www.psg.co.za
PSV HOLDINGS LIMITED,+27 86 077 8778,info@psvholdings.com,http://www.psvholdings.com
PURPLE GROUP LIMITED,+27 87 9406001,info@purplegroup.co.za,http://www.purplegroup.co.za
PUTPROP LIMITED,+27 11 8838650,info@putpro.co.za,http://www.putprop.co.za
QUANTUM FOODS HOLDINGS LIMITED,+27 21 8648600,info@quantumfoods.co.za,http://www.quantumfoods.co.za
QUILTER PLC,+44 207 0027000,investorrelations@quilter.com,http://www.quilter.com
RAND MERCHANT INVESTMENT HOLDINGS LIMITED,+27 10 7532430,anthony.maher@rmb.co.za,http://www.rmbh.com
RANDGOLD & EXPLORATION COMPANY LIMITED,+27 71 5803739,info@randgoldexp.co.za,http://www.randgoldexo.co.za
RAUBEX GROUP LIMITED,+27 12 665 3226,corporate@raubex.co.za,http://www.raubex.co.za
RCL FOODS LIMITED,+27 31 2428500,stephen.heath@rclfoods.com,http://www.rclfoods.com
REBOSIS PROPERTY FUND LIMITED,+27 11 5754835,info@rebosis.co.za,http://www.rebosis.co.za
REDEFINE PROPERTIES LIMITED,+27 11 2830000,investorenquiries@redefine.co.za,http://www.redefine.co.za
REINET INVESTMENTS S.C.A,+35 22 24210,info@reinet.com,http://www.reinet.com
REMGRO LIMITED,+27 21 8883300,ml@remgro.com,http://www.remgro.com
RENERGEN LIMITED,+27 10 0456000,investorrelations@renergen.co.za,http://www.renergen.co.za
RESILIENT REIT LIMITED,+27 11 6126800,info@resilient.co.za,http://resilient.co.za
RESOURCE GENERATION LIMITED,+61 29 3769000,SMatthews@resgen.com.au,http://www.resgen.com.au
REUNERT LIMITED,+27 11 517 9000,invest@reunert.co.za,http://www.reunert.com
REX TRUEFORM GROUP LIMITED,+27 21 460 9400,legal@rextrueform.com,http://www.rextrueform.com
RFG HOLDINGS LIMITED,+27 21 8704007,info@rfg.com,http://www.rfg.com
RH BOPHELO LIMITED,+27 10 0072171,invest@rhbophelo.co.za,https://www.rhbophelo.co.za
RMB HOLDINGS LIMITED,+27 10 7532430,ellen.marais@rmb.co.za,http://www.rmbh.co.za
ROYAL BAFOKENG PLATINUM LIMITED,+27 11 5308040,vanessa@bafokengplatinum.co.za,http://www.bafokengplatinum.co.za
SA CORPORATE REAL ESTATE LIMITED,+27 10 0202530,bswanepoel@sacorp.co.za,http://www.sacorporatefund.co.za
SABLE EXPLORATION AND MINING LIMITED,+27 11 4657319,james@sablemetals.co.za,http://www.sablemetals.co.za
SABVEST CAPITAL LIMITED,+27 11 2682400,ho@sabvest.com,http://www.sabvest.com
SAFARI INVESTMENTS (RSA) LIMITED,+27 11 3651881,info@safari-investments.com,http://www.safari-investments.com
SALUNGANO GROUP LIMITED,+27 11 0498611,info@wescoal.com,http://www.salunganogroup.com
SANLAM LIMITED,+27 21 947 9111,webmaster@sanlam.co.za,http://www.sanlam.co.za
SANTAM LIMITED,+27 21 915 7000,info@santam.co.za,http://www.santam.co.za
SANTOVA LIMITED,+27 31 374 7000,enquires@santova.com,http://www.santova.com
SAPPI LIMITED,+27 11 407 8111,andre.oberholzer@sappi.com,http://www.sappi.com
SASFIN HOLDINGS LIMITED,+27 11 8097500,info@sasfin.com,http://www.sasfin.com
SASOL LIMITED,+27 11 441 3111,investor.relations@sasol.com,http://www.sasol.com
SCHRODER EUROPEAN REAL ESTATE INVESTMENT TRUST PLC,+44 207 6586294,andrew.macdonald@schroders.com,http://www.srei.co.uk
SEA HARVEST GROUP LIMITED,+27 21 4687900,info@seaharvest.co.za,http://www.seaharvest.co.za
SEBATA HOLDINGS LIMITED,+27 11 2188000,info@sebataholdings.com,http://www.sebataholdings.com
SEPHAKU HOLDINGS LIMITED,+27 12 6655060,info@sepman.co.za,http://www.sephakuholdings.co.za
SHOPRITE HOLDINGS LIMITED,+27 21 9804000,investor@shoprite.co.za,http://www.shopriteholdings.co.za
SIBANYE STILLWATER LIMITED,+27 10 4936923,ir@sibanyestillwater.com,http://www.sibanyestillwater.com
SIRIUS REAL ESTATE LIMITED,+49 302 85010110,Governance@Sirius-Real-Estate.com,http://www.sirius-real-estate.com
SOUTH OCEAN HOLDINGS LIMITED,+27 11 864 1606,info@southoceanholdings.com,http://www.southoceanholdings.co.za
SOUTH32 LIMITED,+61 89 324 9000,Rebecca.Healy@south32.net,https://www.south32.net
SOUTHERN PALLADIUM LIMITED,+61 412 090826,info@southernpalladium.com,http://www.southernpalladium.com
SOUTHERN SUN LIMITED,+27 11 5107800,laurelle.mcdonald@tsogosun.com,http://www.southernsun.com
SPEAR REIT LIMITED,+27 21 4040580,info@spearprop.co.za,http://www.spearprop.co.za
SPUR CORPORATION LIMITED,+27 21 555 5100,spur@spur.co.za,http://www.spurcorporation.co.za
STADIO HOLDINGS LIMITED,+27 87 2883220,info@stadio.co.za,http://www.stadio.co.za
STANDARD BANK GROUP LIMITED,+27 11 6369112,investorrelations@standardbank.co.za,http://www.standardbank.co.za
STEFANUTTI STOCKS HOLDINGS LIMITED,+27 11 571 4300,stefjhb@stefanutti.co.za,http://www.stefanutti.co.za
STEINHOFF INTERNATIONAL HOLDINGS N.V.,+31 20 4200600,investors@steinhoffinternational.com,http://www.steinhoffinternational.com
STOR-AGE PROPERTY REIT LIMITED,+27 21 6713233,headoffice@stor-age.co.za,http://www.stor-age.co.za
SUN INTERNATIONAL LIMITED,+27 11 7807762,investor.relations@suninternational.co.za,http://www.suninternational.com
SUPER GROUP LIMITED,+27 11 5234000,marketing@supergrp.com,http://www.supergroup.co.za
SYGNIA LIMITED,+27 21 4464940,info@sygnia.co.za,http://www.sygnia.co.za
TELEMASTERS HOLDINGS LIMITED,+27 87 945 0000,salesinfo@masters.co.za,http://www.telemasters.co.za
TELKOM SA SOC LIMITED,+27 12 3118675,telkomir@telkom.co.za,http://www.telkom.co.za
TEXTAINER GROUP HOLDINGS LIMITED,+1 441 2962500,ahh@textainer.com,http://www.textainer.com
TEXTON PROPERTY FUND LIMITED,+27 11 7311980,admin@texton.co.za,http://www.texton.co.za
THARISA PLC,+27 11 996 3500,sdewitt@tharisa.com,http://www.tharisa.com
THE BIDVEST GROUP LIMITED,+27 11 772 8700,info@bidvest.co.za,http://www.bidvest.com
THE FOSCHINI GROUP LIMITED,+27 21 938 1911,company_secretary@tfg.co.za,http://www.tfglimited.co.za
THE SPAR GROUP LIMITED,+27 31 719 1900,kyla.armstrong@spar.co.za,http://www.spar.co.za
THUNGELA RESOURCES LIMITED,+27 11 6382750,ryan.africa@angloamerican.com,http://www.thungela.com
TIGER BRANDS LIMITED,+27 11 840 4000,tigercsd@tigerbrands.com,http://www.tigerbrands.com
