moneysmartID,title,accountNames,accountNumbers,accountBanks,billerCode,merchantId,acquirerId,terminalId,moneysmartUrl,addresses,websites,emails,phones,fax,aliases,comment,legacyDetails,legacyAccountNumbers,legacyAliases,dateAdded,dateUpdated
2241,Abel Myers Consulting,,,,,,,,/companies-you-should-not-deal-with/abel-myers-consulting,,,,,,,,Ostenbachgasse 5 CH8001 Zurich Switzerland www.abelmyers.com Ph: 1 9999999999,,, ,23-Aug-19
2242,Aberdeen Asset Management,,,,,,,,/companies-you-should-not-deal-with/aberdeen-asset-management,,,,,,,,(also known as Apollo Impex General Trading LLC) settlements@aberdeenfundmanagement.com Ph: 44 0203 393 3178 Fax: 44 0203 393 3177(Note: this company is not connected and should not be confused with the legitimate firm UK and Australian firm(s): Aberdeen Asset Management PLC; and Aberdeen Asset Managers Limited of 10 Queens Terrace  Aberdeen Aberdeenshire  AB10 1YG  Ph: 44 01224 931 999  Fax: 44 01224 647 010 (www.aberdeen-asset.com)  and FSA registration no.: 121891; or Aberdeen Asset Management Limited  Level 10  255 George Street  Sydney NSW 2000  Ph: 61 2 9950 2853  Fax: 61 2 9950 2800 (www.aberdeenasset.com.au)  AFSL no.: 240263. ,,, ,23-Aug-19
2243,Abridge Enterprises,,,,,,,,/companies-you-should-not-deal-with/abridge-enterprises,,,,,,,,43/F AIA Tower 183 Electric Road North Point Hong KongP: +85271982374 info@abridge-enterprises.comAccount name: Changhongda Ltd Account number: 871506002142 Bank name: ICBC Asia,8.71506E+11,Changhongda Ltd, ,23-Aug-19
2244,AC Capital Venture,,,,,,,,/companies-you-should-not-deal-with/ac-capital-venture,,,,,,,,7900 East Union Avenue Suite 1100 Denver Co 80237 Ph: 1 303 309 2493 Fax: 1 303 648 5635,,, ,23-Aug-19
2245,Accounting and Tax Planners of NY Inc,,,,,,,,/companies-you-should-not-deal-with/accounting-and-tax-planners-of-ny-inc,,,,,,,,(Note: this company is not connected and should not be confused with the legitimate firm Accounting &amp; Tax Planners  303 5th Ave.  Suite # 211  New York  NY 10016-6601  Ph: 1 212 292-3331 /3332  Fax: 212 292-3334)303 Fifth Avenue New York  NY 10016-6601 Ph: 1 347-427-9176 Fax: 1 347 4238 3124 www.acctnyc.com Email: admin@acctnyc.com Email: clientservices@acctnyc.com,,, ,23-Aug-19
2246,Acomex,,,,,,,,/companies-you-should-not-deal-with/acomex,,,,,,,,(also known as 'Extensa Financial Services' and 'GMEX'  formerly known as 'Vincy Options SA')Amsterdam Commodities ExchangeWesterdoksdijk 42  1013 AE  Amsterdam.www.acomex.nl/about/,,, ,24-Oct-19
2247,Adam International Trading Group Ltd,,,,,,,,/companies-you-should-not-deal-with/adam-international-trading-group-ltd,,,,,,,,also known as The Adam Group  Adams Group International  Adams GroupAddress: Metroplaza 223 Hing Fong Road Kwai Chung New Territories Hong KongPh: +852 5808 4605 Email: info@theadamgroup.com www.theadamgroup.comAccount name: Cornerstone Alliance Capital LLC Account number: 3666055078 Bank name: Northwest Bank,,, ,23-Aug-19
2248,Adams Group,,,,,,,,/companies-you-should-not-deal-with/adams-group,,,,,,,,also known as The Adam Group  Adam International Trading Group Ltd  Adams Group InternationalMetroplaza 223 Hing Fong Road Kwai Chung New Territories Hong KongPh: +852 5808 4605Email: info@theadamgroup.com www.theadamgroup.comAccount name: Cornerstone Alliance Capital LLC Account number: 3666055078 Bank name: Northwest Bank,3666055078,Cornerstone Alliance Capital LLC, ,23-Aug-19
2249,Adams Group International,,,,,,,,/companies-you-should-not-deal-with/adams-group-international,,,,,,,,also known as&nbsp; The Adam Group &nbsp;Adam International Trading Group Ltd  Adams GroupMetroplaza 223 Hing Fong Road Kwai Chung New Territories Hong KongPh: +852 5808 4605Email: info@theadamgroup.com www.theadamgroup.comAccount name: Cornerstone Alliance Capital LLC Account number: 3666055078 Bank name: Northwest Bank,3666055078,Cornerstone Alliance Capital LLC, ,23-Aug-19
2250,Adderley Davis and Associates,,,,,,,,/companies-you-should-not-deal-with/adderley-davis-and-associates,,,,,,,,Suite Z-12  PO Box 849 Sharjah Airport Free Zone Sharjah  UAE Ph: 971 6557 0122 Fax: 971 6557 0312 www.adderleydavis.com Email: info@adderleydavis.comInternational customer service fax numbers: Hong Kong: (852) 3015 8577 Sydney: (61) 2 9475 1325 Zurich: (41) 44 274 2399 UK : (44) 845 280 1408,,, ,23-Aug-19
2251,Admiral Global Private Equity,,,,,,,,/companies-you-should-not-deal-with/admiral-global-private-equity,,,,,,,,23rd floor Eaton Centre 250 Yonge Street  Toronto  Ontario M5B 2L7 Canada Postal Address: 1-23-17 Dogenzaka  Tokyo  Shibuya 150-0043 Japan admiralglobal.comAccount name: Mansfield International Ltd Account number: 744183779001 Bank name: Citic Bank International LtdAccount name: BDK Ltd Account number: 744183797901 Bank name: Citic Bank International LtdAccount name: Longdale Holdings Limited Account Number: 00110633270012 Bank name: Noor BankAccount name: Longdale Holdings Limited Account number: 01900018608 Bank name:Mashreq Bank PJSCAccount name: TCC Global Ltd Account numbers: 848807970838 and 796056604883 Bank name: HSBC HK,744183779001|744183797901|00110633270012|01900018608|848807970838|796056604883,Mansfield International Ltd|BDK Ltd|Longdale Holdings Limited|Longdale Holdings Limited|TCC Global Ltd, ,23-Aug-19
2252,ADS Quality Financial Services,,,,,,,,/companies-you-should-not-deal-with/ads-quality-financial-services,,,,,,,,2 Esplanade Exchange Tower Perth WA 6000P: 0426 148 010 info@qualityloanservices.org,,, ,23-Aug-19
2253,Advanced Financial Union Ltd,,,,,,,,/companies-you-should-not-deal-with/advanced-financial-union-ltd,,,,,,,,Address: 20E Foothill Blvd  215A  Arcadia CA 91006  USAEmail: info@afufx.comWebsite: www.afufx.comAccount no.: 325089531822 Account name: Advanced Financial Union Ltd,3.2509E+11,Advanced Financial Union Ltd, ,23-Aug-19
2254,Advantage Securities Inc,,,,,,,,/companies-you-should-not-deal-with/advantage-securities-inc,,,,,,,,20/F  IFC Two 8 Finance Street Central Hong Kong www.advantagesecurities.com,,, ,23-Aug-19
2255,Advent-Oriental Asset Management,,,,,,,,/companies-you-should-not-deal-with/advent-oriental-asset-management,,,,,,,,2nd Floor  58 Taicang Road Xintiandi  Shanghai 200021 China Ph: 216103 6819 Fax: 216103 6868 www.advent-oriental.com owen@advent-oriental.com,,, ,23-Aug-19
2256,Advisor Dealer Services Inc (ADS Inc.),,,,,,,,/companies-you-should-not-deal-with/advisor-dealer-services-inc-ads-inc,,,,,,,,(Note: this company is not connected and should not be confused with the legitimate firm Advisor Dealer Services Inc (ADS Inc) of 6125 Memorial Drive  Dublin Ohio  USA telephone 866-633-3371  which is a registered broker in the USA (CRD No. #36773 ).)6125 Memorial Drive Dublin OHIO 43017 USA Phone: 614 495 0155 Facsimile : 614 4484538 Website: www.adviser-inc.com email: info@adviser-inc.com,,, ,23-Aug-19
2257,Aedan Investment Mortgage Inc,,,,,,,,/companies-you-should-not-deal-with/aedan-investment-mortgage-inc,,,,,,,,(CEO Aedan Collier) Plot 432 Railway Avenue Postal Service: 10006 - NY New York  NY Ph: (172) 634 566 73 customer.aedanmortgage@gmail.com,,, ,23-Aug-19
2258,AEG Investment Limited,,,,,,,,/companies-you-should-not-deal-with/aeg-investment-limited,,,,,,,,18 Harcourt Road Admiralty  Hong Kong  S.A.R. China Ph: (852) 5801 4350 admin@aeginvltd.com www.aeginvltd.com,,, ,23-Aug-19
2259,Aeon Loans Financial Services,,,,,,,,/companies-you-should-not-deal-with/aeon-loans-financial-services,,,,,,,,No. 14  Jalan Maroof  Putra Kelang  56300  Kuala Lumpur Malaysia Ph. 60- 102- 856 683 aeonloan@live.com.my,,, ,23-Aug-19
2260,Aero Tech Turbines,,,,,,,,/companies-you-should-not-deal-with/aero-tech-turbines,,,,,,,,(Note: this company is not connected and should not be confused with the legitimate firm AeroTech Turbines Inc  P.O. Box 177  Road Town  Tortola  British Virgin Islands  Certificate of Incorporation No. 662499).Level 38  TAIPEI 101 Tower 7 Xinyi Road  Section 5 110 Taipei Taiwan Ph: 886 2 6602 1095 Fax: 886 2 6602 1416 admin@aerotechturbines.com www.aerotechturbines.com,,, ,23-Aug-19
2261,Ag Investor Fund,,,,,,,,/companies-you-should-not-deal-with/ag-investor-fund,,,,,,,,(See RE Group International),,, ,23-Aug-19
2262,Agro Micron Ltd,,,,,,,,/companies-you-should-not-deal-with/agro-micron-ltd,,,,,,,,Headquarter Office 35F Central Plaza 18 Harbor Road WANCHAI HONG KONG Ph: 852 2593 1326 Fax: 852 3017 8000 www.agromicron.com email: info@agromicron.comandSingapore Office 10 Anson Road #30-07 International Plaza SINGAPORE 079903,,, ,23-Aug-19
2263,AJ Witherspoon and Co,,,,,,,,/companies-you-should-not-deal-with/aj-witherspoon-and-co,,,,,,,,411 Hamilton Boulevarde Level 10 Suite 1020 Peoria Illinois Peoria 61602USA Phone: 1 309 282 8793 Fax: 1 309 210 1466 info@ajwitherspoonandco.com www.ajwitherspoonandco.com,,, ,23-Aug-19
2264,All Media EOOD,,,,,,,,/companies-you-should-not-deal-with/all-media-eood,,,,,,,,Also known as Brokerz LimitedAddress: C/o Suite 305  Griffith Corporate Centre  Beachmont  PO Box 1510 Kingstown  Saint Vincent and Grenadines. Address: All Media EOOD  Sofia  BulgariaPh: + 44 20 8068 3493Email: support@brokerz.comWebsite: http://brokerz.com/,,Brokerz Limited, ,23-Aug-19
2265,Alliance Financial Advisory,,,,,,,,/companies-you-should-not-deal-with/alliance-financial-advisory,,,,,,,,5 Rue Des Eaux-Vives  CH 1207 Geneva  Switzerland 2 Des Voeux Road  Central  Hong Kong www.afadvisoryinc.com/,,, ,23-Aug-19
2266,Alliance Financial Regulatory Board,,,,,,,,/companies-you-should-not-deal-with/alliance-financial-regulatory-board,,,,,,,,101 Federal Street Suite 1600 Boston Massachusetts 02110 USAhttp://alliancefrboard.us,,, ,23-Aug-19
2267,Alliance FX Capital Ltd,,,,,,,,/companies-you-should-not-deal-with/alliance-fx-capital-ltd,,,,,,,,1 Scotts Road #24-10 Shaw CentreSingapore 228208P: (+65) 6631 9760info@alliancefx.capitalhttp://www.alliancefx.capitalAccount name: Pennington Fund Labuan LLPAccount number: 503174914301Bank name: Overseas Chinese Banking CorporationAccount name: Wells GoldmanAccount number: 30779702Bank name: Lloyds Bank,503174914301|30779702,Pennington Fund Labuan LLP|Wells Goldman,24-May-18,14-Dec-21
2268,Alliance Group Tokyo  The,,,,,,,,/companies-you-should-not-deal-with/alliance-group-tokyo-the,,,,,,,,Email: sales@alliancegrouptokyo.com Website: http://alliancegrouptokyo.com Address: Toyko Shinjuku Park Tower  3-7-1 Nishi Shinjuku  Shinjuku-ku  Tokyo  163-1030 Phone: Japan: 053 371249 (local calls only) US: +121 3223 8152 UK: +44 1133 507127 AU: +61 2 9037 3810,,, ,23-Aug-19
2269,Allied Asset Management,,,,,,,,/companies-you-should-not-deal-with/allied-asset-management,,,,,,,,(Note: this company is not connected and should not be confused with the legitimate firm Allied Asset Management  Inc. 2033 6th Avenue  Suite 1009  Seattle  WA 98121-2523  USA Ph 206 441 1900 Fax 206 441 1901 CRD# 16403 SEC no 8-340521)2033 6th Avenue Seattle WA 98121 USA Ph 1 206-299-3560 Fax: 206-299-3487 info@allassmanagement.com,,, ,23-Aug-19
2270,Allied Capital Management L.P,,,,,,,,/companies-you-should-not-deal-with/allied-capital-management-l-p,,,,,,,,Alpenstrasse 9. Zug &nbsp;6300  SwitzerlandP:+414 1508 7526 info@alliedcapmgt.com or accounts@alliedcapmgt.com or trading@alliedcapmgt.com http://www.alliedcapmgt.com/Account name: Global Transfer Pte Ltd Account number: 17609894404 Bank name: RHB Bank Berhad SingaporeAccount name: Global Transfer Pte Ltd Account number: 4223093463 Bank name: United Overseas Bank Ltd Singapore,17609894404|4223093463,Global Transfer Pte Ltd|Global Transfer Pte Ltd, ,23-Aug-19
2271,Allied International Investment Limited,,,,,,,,/companies-you-should-not-deal-with/allied-international-investment-limited,,,,,,,,8 Portland Place Pritchard Street Bristol BS2-8RH England  UK Ph:(44) 870 429 4883 Fax: (44) 870 220 0041 Other offices in NY  USA and Hong Kong,,, ,23-Aug-19
2272,Allied Pacific Ventures,,,,,,,,/companies-you-should-not-deal-with/allied-pacific-ventures,,,,,,,,Level 25 Bank of China Tower 1 Garden Road Central Hong Kong,,, ,23-Aug-19
2273,Allied Sovereign Zurich,,,,,,,,/companies-you-should-not-deal-with/allied-sovereign-zurich,,,,,,,,Suite 701  Level 7 Via Augusta Barcelona 08006 Spain Ph: (34) 932385924 Fax: (34) 932385925 www.alliedsovereignzurich.com,,, ,23-Aug-19
2274,Alpha Financial Group,,,,,,,,/companies-you-should-not-deal-with/alpha-financial-group,,,,,,,,Note: this company is not connected and should not be confused with the legitimate Australian firm Alpha Financial Group Pty Ltd  Suite 4  208 Whitehorse Road Blackburn VIC 3130  Ph: 03 9259 0400  AFSR: 259 452.Ph: +41315087597Ph: 442039051069Email: support@alphafinancialgroup.comWebsite: https://www.alphafinancialgroup.com/,,,02-Aug-19,14-Dec-21
2275,Alpha Takeovers,,,,,,,,/companies-you-should-not-deal-with/alpha-takeovers,,,,,,,,750 3rd Avenue  New York  NY 10017  USA Ph: + 1-646-559-7415 Fax: +1-646-365-8377 www.alphatakeovers.com,,, ,23-Aug-19
2276,Amber Capital Partners,,,,,,,,/companies-you-should-not-deal-with/amber-capital-partners,,,,,,,,Ilham Tower  No. 8 Jalan Binjai 50450 Kuala Lumpur MalaysiaP: +60 392 125 479 or +32 280 877 73 investorservices@ambercapitalpartners.com and accounts@ambercapitalpartners.com www.ambercapitalpartners.comAccount name: Biathlon HK Limited Account number: 701530029672 Bank name: Industrial and Commercial Bank of China (Asia) LtdAccount name: Crownwood SRO Account number: 115-2119240297 Bank name:&nbsp;Komercni Banka  a.s.Account name: Hunat Ltd Account number: 2001154676 Bank name: Fio Banka a.s.,701530029672|115-2119240297|2001154676,Biathlon HK Limited|Crownwood SRO|Hunat Ltd, ,23-Aug-19
2277,Ambramson Limited / Abramson International,,,,,,,,/companies-you-should-not-deal-with/ambramson-limited-abramson-international,,,,,,,,1 20-7 Nihonbashi Chuo-ko Tokyo 103 0027 Ph:81 34520 9345 Fax: 81 36385 7621 www.ambramsoninternational.com,,, ,23-Aug-19
2278,AMC International (HK) Limited,,,,,,,,/companies-you-should-not-deal-with/amc-international-hk-limited,,,,,,,,Sun House  181 Des Voeux Road Central  Sheung Wan  Hong Kong Ph: +852 5801 4350 Email: admin@amcing-hk.com/ info@amcint-hk.com www.amcint-hk.comAccount name: Charm Assets Limited Account number: 848-609319-838 Bank name: HSBC HK,848-609319-838,Charm Assets Limited, ,23-Aug-19
2279,American Energy Exchange (AMENX),,,,,,,,/companies-you-should-not-deal-with/american-energy-exchange-amenx,,,,,,,,No further information available.,,, ,23-Aug-19
2280,American Futures and Options Exchange,,,,,,,,/companies-you-should-not-deal-with/american-futures-and-options-exchange,,,,,,,,131 Pearl St New York NY 10005 www.afoex.com support@afoex.com,,, ,23-Aug-19
2281,American Futures and Options Trading Commission,,,,,,,,/companies-you-should-not-deal-with/american-futures-and-options-trading-commission,,,,,,,,503 N Michigan Avenue #1950 Chicago Illinois 60601 www.afoex.com support@afoex.com,,, ,23-Aug-19
2282,American Heritage Stock Transfer Inc.,,,,,,,,/companies-you-should-not-deal-with/american-heritage-stock-transfer-inc,,,,,,,,(also known as 'Nanotech Industries Inc') 80 Tiverton Court Suite 205 Markham  ON L3R 0G4 Ph: 416 907 3118 Fax: 905 248 3433 www.americanhst.com info@americanhst.com,,, ,23-Aug-19
2283,Amsel Commodities AG,,,,,,,,/companies-you-should-not-deal-with/amsel-commodities-ag,,,,,,,,Fleishamarket Is Vienna 1010 Austria www.amselcommodities.com Ph: 431299 7178,,, ,23-Aug-19
2284,Annex International Mergers and Acquisitions,,,,,,,,/companies-you-should-not-deal-with/annex-international-mergers-and-acquisitions,,,,,,,,Hong Leong Buidling 16 Raffles Quay Singapore 048581 Ph 656 215 0206 Fax 656 2150 0207 www.annexinternational.com,,, ,23-Aug-19
2285,Anton Falk Capital Partners,,,,,,,,/companies-you-should-not-deal-with/anton-falk-capital-partners,,,,,,,,Bahnhofstrasse 5 Zurich 8022 Switzerland http://antonfalk.com,,, ,23-Aug-19
2286,Apollo Asset Management,,,,,,,,/companies-you-should-not-deal-with/apollo-asset-management,,,,,,,,Address: 299 Park Avenue  4th Floor  New York City  New York  10171 http://apolloam.us,,, ,23-Aug-19
2287,Apollo Asset Management HK,,,,,,,,/companies-you-should-not-deal-with/apollo-asset-management-hk,,,,,,,,Kuo Wah Building 340-342 Hennessy Road Wanchai HONG KONG CHINA Tel:&nbsp; +612-91192949 Web: www.apolloassetmanagementhk.com,,, ,23-Aug-19
2288,Apollo Impex General Trading LLC,,,,,,,,/companies-you-should-not-deal-with/apollo-impex-general-trading-llc,,,,,,,,(also known as 'Aberdeen Asset Management'. See 'Aberdeen Asset Management' for more information),,, ,23-Aug-19
2289,Aqua Securities L.P,,,,,,,,/companies-you-should-not-deal-with/aqua-securities-l-p,,,,,,,,110 East 59th Street New York NY 10022 Ph: 1 212 796 0926 Fax: 1 646 224 2271 www.aqua-securities.com info@aqua-securities.com.au,,, ,23-Aug-19
2290,Aragon Currency Management,,,,,,,,/companies-you-should-not-deal-with/aragon-currency-management,,,,,,,,4491 South State Road Seven Suite-208 Fort Lauderdale Florida USA 33314 Phone numbers: USA &amp; Canada: 1-800-803-0387; Australia: 1-800-836-861; New Zealand: 0800-455-0055; South Africa: 0-800-992-002,,, ,23-Aug-19
2291,ARAM Binary Options also known as ARAM Wealth Management Ltd,,,,,,,,/companies-you-should-not-deal-with/aram-binary-options-also-known-as-aram-wealth-management-ltd,,,,,,,,Main Office  Solar Dong building 65 Yeouidaebang-ro  Yeongdeungpo-gu  Seoul  South Korea.P: (+44) 330 808 0100 or (+64) 9950 8489 or (+61) 280 466 556 or (+1) 437 888 1190 compliance@arambinaryoptions.com www.arambinaryoptions.comAccount name: Gulf Coast Inv Managment Cons FZE Account number: 3515761028 Bank name: Al Hilal Bank Dubai,3515761028,Gulf Coast Inv Managment Cons FZE, ,23-Aug-19
2292,ARAM Wealth Management Ltd,,,,,,,,/companies-you-should-not-deal-with/aram-wealth-management-ltd,,,,,,,,also known as ARAM Binary OptionsMain Office  Solar Dong building 65 Yeouidaebang-ro  Yeongdeungpo-gu  Seoul  South Korea.P: (+44) 330 808 0100 or (+64) 9950 8489 or (+61) 280 466 556 or (+1) 437 888 1190 compliance@arambinaryoptions.com www.arambinaryoptions.comAccount name: Gulf Coast Inv Managment Cons FZE Account number: 3515761028 Bank name: Al Hilal Bank Dubai,3515761028,Gulf Coast Inv Managment Cons FZE, ,23-Aug-19
2293,Arcadia Capital Associates,,,,,,,,/companies-you-should-not-deal-with/arcadia-capital-associates,,,,,,,,62-63 F HOPEWELL CENTRE  183 Queens Road East  WAN CHAI  HONG KONG Ph: 852-5808-2915 http://www.arcadia-hk.com S.CHEUNG.ACA@gmail.com,,, ,23-Aug-19
2294,Argus Capital Limited,,,,,,,,/companies-you-should-not-deal-with/argus-capital-limited,,,,,,,,Postbus 59366 1040 KJ Amsterdam The Netherlands Ph: 31 20 301 2290 Fax: 31 20 301 2210,,, ,23-Aug-19
2295,Aries Ventures Inc,,,,,,,,/companies-you-should-not-deal-with/aries-ventures-inc,,,,,,,,Address: 1745 Broadway  17th Floor  New York City  New York  10019 USA Website: www.ariesventuresinc.com Phone: 1 212 302 1047 Fax: 1 212 658 9491Account Name: Aries Ventures Inc Account (AIHCA) Account Number: 2102516505,2102516505,Aries Ventures Inc Account (AIHCA), ,23-Aug-19
2296,Arista Capital Ventures,,,,,,,,/companies-you-should-not-deal-with/arista-capital-ventures,,,,,,,,4201 East Park Circle  Harrisburg PA 1711 Ph: + 1 717 230 1310 www.aristacv.com email: info@aristacv.comContacts Adam Scheffer  Acquisition Adviser Email: a.scheffer@aristacv.com Ph: 001 717 230 1310 ext. 2077Aris Taylor  CEO Email: aris.taylor@aristacv.comDavid Ellis  Administrative Assistant Ph: 001 717 230 1310 ext. 2058Bank Account Details Bank name: U.S. Central Bank Federal Reserve  Washington  DC Beneficiary Name: Overseas Holdings Compensation Commission (OHCC) Account Number: 115543225,115543225,Overseas Holdings Compensation Commission (OHCC), ,23-Aug-19
2298,Arumas Ways OÜ,,,,,,,,/companies-you-should-not-deal-with/arumas-ways-ou,,,,,,,,Address: Roosikrantsi 2K 157  Tallinn City  Harju County  10119  Estonia Tornimae 5  Tallinn  10145  EstoniaPh: +44-2080-685000 +44-2080-685002 +60-392-126640 Estonia - +372-8-804106Email: support@teramusu.comcompliance@teramusu.comWebsite: https://teramusu.com/,,, ,23-Aug-19
2299,Arya Group Ltd,,,,,,,,/companies-you-should-not-deal-with/arya-group-ltd,,,,,,,,also known as IvoryOptionLandmark Building  14 Tsar Osvoboditel Blvd  6th Floor  1000 Sofia  BulgariaP: (+44) 203-608-6720&nbsp;or&nbsp;(+61) 285-203-747&nbsp;or&nbsp;(+64) 497-475-18&nbsp;or&nbsp;(+65) 315-902-41&nbsp;or&nbsp;(+27) 875-503-796&nbsp;or&nbsp;(+13) 473-322-860 support@ivoryoption.com www.ivoryoption.com,,, ,23-Aug-19
2300,Asean Commodities Inc,,,,,,,,/companies-you-should-not-deal-with/asean-commodities-inc,,,,,,,,(also known as Asean Finance Corporation Limited  Asean Commodities Inc. Limited and Asean Commodities Inc.(Fremont)) The Globe 100 Cecil Street Singapore 069532 Ph: 65 65059594 Fax : 65 64916562 contact@asean-commodities.com info@asean-commodities.com accounts@asean-commodities.com www.asean-commodities.com,,, ,23-Aug-19
2301,Ashford Investments,,,,,,,,/companies-you-should-not-deal-with/ashford-investments,,,,,,,,Also known as Teres Media Limited (formerly Teres Media BG Limited).Address: Trust Company Complex Ajeltake Road Ajeltake Island  Majuro Marshall Islands MH 96960  Girasole Suite 6 Office B  Triq In - Narcis Xewkija Gozo Malta  Sgrada 8 B  9009 Varna Severoiztochen BulgariaPh: +442038689102Email: support@ashfordinvestments.com &amp; complaints@ashfordinvestments.comWebsite: https://www.ashfordinvestments.com/,,, ,23-Aug-19
2302,Ashton Cole Global,,,,,,,,/companies-you-should-not-deal-with/ashton-cole-global,,,,,,,,Cheung Kong Center 2 Queens Road Central Hong Kongwww.acglobalinc.comAccount name: Hong Kong Weimeite International Account number: 652-526450-838 Bank name: HSBC Hong Kong,652-526450-838,Hong Kong Weimeite International, ,23-Aug-19
2303,Ashton Cole Global Investments,,,,,,,,/companies-you-should-not-deal-with/ashton-cole-global-investments,,,,,,,,Cheung Kong Center  2 Queens Road  Central Hong Kong Ph: + 852 8192 4770 Email: enquiries@acglobalinc.com http://acglobalinc.com/,,, ,23-Aug-19
